brand,model,year,price,mileage,fuel,location,color,source,crawl_date
Vinfast,VF5 Plus,2025,495000000,0,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Toyota,Raize G,2025,495000000,0,Xăng,TP.HCM,Đỏ,bonbanh,2025-12-26
Mitsubishi,Xpander 1.5,2025,495000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Hyundai,Stargazer X,2025,497000000,100000,Xăng,TP.HCM,Đỏ,bonbanh,2025-12-26
Hyundai,Stargazer X,2025,497000000,0,Xăng,TP.HCM,Trắng,bonbanh,2025-12-26
Geely,Coolray Standard,2025,499000000,0,Điện,TP.HCM,Trắng,bonbanh,2025-12-26
Vinfast,Herio Green,2025,499000000,0,Điện,TP.HCM,Đỏ,bonbanh,2025-12-26
Hyundai,Accent Đặc,2025,499000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
MG,G50 1.5,2025,500000000,6000,Xăng,TP.HCM,Đen,bonbanh,2025-12-26
Toyota,Vios G,2025,500000000,0,Xăng,TP.HCM,Trắng,bonbanh,2025-12-26
MG,G50 1.5,2025,500000000,230,Xăng,TP.HCM,Trắng,bonbanh,2025-12-26
Toyota,Raize G,2025,502000000,0,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Geely,Coolray Premium,2025,502000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Mitsubishi,Xpander 1.5,2025,502000000,0,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Hyundai,Stargazer X,2025,503000000,0,Xăng,Hà Nội,Bạc,bonbanh,2025-12-26
Honda,City RS,2025,504000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Hyundai,Stargazer X,2025,506000000,100000,Xăng,TP.HCM,Trắng,bonbanh,2025-12-26
Honda,City RS,2025,507000000,0,Xăng,Đồng Nai,Đỏ,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,507000000,0,Điện,Quảng Ninh,Trắng,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,509000000,0,Điện,TP.HCM,Đỏ,bonbanh,2025-12-26
Geely,Coolray Premium,2025,509000000,0,Xăng,Hải Dương,Trắng,bonbanh,2025-12-26
Hyundai,Stargazer X,2025,509000000,0,Xăng,TP.HCM,Xám,bonbanh,2025-12-26
Honda,City RS,2025,509000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Hyundai,Accent Cao,2025,509000000,0,Xăng,TP.HCM,Trắng,bonbanh,2025-12-26
Hyundai,Venue 1.0,2025,509000000,0,Xăng,TP.HCM,Trắng,bonbanh,2025-12-26
MG,ZS Luxury,2025,510000000,0,Điện,Bắc Ninh,Trắng,bonbanh,2025-12-26
Toyota,Raize G,2025,510000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Mitsubishi,Xpander 1.5,2025,510000000,30000,Xăng,Khác,Trắng,bonbanh,2025-12-26
Toyota,Raize G,2025,512000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Hyundai,Venue 1.0,2025,513000000,0,Xăng,TP.HCM,Đen,bonbanh,2025-12-26
Honda,City RS,2025,514000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Toyota,Vios G,2025,515000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Toyota,Vios G,2025,515000000,17000,Xăng,Hải Phòng,Trắng,bonbanh,2025-12-26
Mitsubishi,Xpander 1.5,2025,515000000,34000,Xăng,Khác,Trắng,bonbanh,2025-12-26
Suzuki,XL7 Hybrid,2025,515000000,100,Hybrid,Hà Nội,Trắng,bonbanh,2025-12-26
Suzuki,XL7 Hybrid,2025,516000000,0,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Hyundai,Venue 1.0,2025,516000000,4000,Xăng,TP.HCM,Đỏ,bonbanh,2025-12-26
MG,ZS Luxury,2025,519000000,1000,Xăng,TP.HCM,Đỏ,bonbanh,2025-12-26
MG,G50 1.5,2025,520000000,600,Xăng,Hà Nội,Đen,bonbanh,2025-12-26
Hyundai,Accent Cao,2025,520000000,0,Xăng,Hải Phòng,Trắng,bonbanh,2025-12-26
Toyota,Vios G,2025,520000000,2857,Xăng,TP.HCM,Đỏ,bonbanh,2025-12-26
Hyundai,Accent Cao,2025,520000000,10000,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Hyundai,Stargazer X,2025,522000000,3000,Xăng,TP.HCM,Trắng,bonbanh,2025-12-26
Suzuki,XL7 Hybrid,2025,523000000,100,Hybrid,Hà Nội,Trắng,bonbanh,2025-12-26
Suzuki,Fronx GLX,2025,524000000,0,Hybrid,Hà Nội,Trắng,bonbanh,2025-12-26
Hyundai,Stargazer X,2025,525000000,0,Xăng,Hà Nội,Đỏ,bonbanh,2025-12-26
Toyota,Raize G,2025,525000000,6800,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Mitsubishi,Xpander 1.5,2025,525000000,33000,Xăng,Khác,Trắng,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,529000000,326,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Vinfast,VF5 Plus,2025,529000000,300,Điện,Hà Nội,Đỏ,bonbanh,2025-12-26
Mazda,Sport,2025,529000000,0,Xăng,TP.HCM,Trắng,bonbanh,2025-12-26
Mitsubishi,Xforce GLX,2025,530000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Hyundai,Stargazer X,2025,534000000,0,Xăng,TP.HCM,Trắng,bonbanh,2025-12-26
Mitsubishi,Xforce GLX,2025,534000000,0,Xăng,Hà Nội,Đỏ,bonbanh,2025-12-26
Mitsubishi,Xforce GLX,2025,535000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
MG,ZS Luxury,2025,535000000,1100,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Mitsubishi,Xforce GLX,2025,539000000,0,Xăng,TP.HCM,Trắng,bonbanh,2025-12-26
MG,HS 1.5T,2025,540000000,0,Xăng,Bắc Ninh,Trắng,bonbanh,2025-12-26
Hyundai,Accent Cao,2025,540000000,1100,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Hyundai,Stargazer X,2025,540000000,0,Xăng,Hải Phòng,Trắng,bonbanh,2025-12-26
Hyundai,Stargazer X,2025,541000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Toyota,Avanza Premio,2025,542000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Suzuki,Swift 1.2,2025,542000000,0,Hybrid,Hà Nội,Đỏ,bonbanh,2025-12-26
Suzuki,Swift 1.2,2025,544000000,0,Hybrid,Hà Nội,Xanh,bonbanh,2025-12-26
Hyundai,Stargazer X,2025,544000000,0,Xăng,TP.HCM,Đen,bonbanh,2025-12-26
Toyota,Veloz Cross,2025,545000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Suzuki,Swift 1.2,2025,545000000,0,Hybrid,Hà Nội,Trắng,bonbanh,2025-12-26
Mazda,CX3 Deluxe,2025,546000000,0,Xăng,TP.HCM,Trắng,bonbanh,2025-12-26
Hyundai,Stargazer X,2025,548000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Toyota,Veloz Cross,2025,548000000,0,Xăng,TP.HCM,Bạc,bonbanh,2025-12-26
Suzuki,Swift 1.2,2025,549000000,0,Hybrid,Hà Nội,Xanh,bonbanh,2025-12-26
Hyundai,Creta Tiêu,2025,550000000,0,Xăng,TP.HCM,Trắng,bonbanh,2025-12-26
Toyota,Veloz Cross,2025,551000000,0,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Toyota,Veloz Cross,2025,552000000,0,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Toyota,Veloz Cross,2025,553000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Kia,Sonet Luxury,2025,554000000,0,Xăng,Hà Nội,Xanh,bonbanh,2025-12-26
MG,HS 1.5T,2025,555000000,0,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Hyundai,Stargazer X,2025,555000000,0,Xăng,Đà Nẵng,Trắng,bonbanh,2025-12-26
Mazda,1.5L,2025,558000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Toyota,Avanza Premio,2025,558000000,0,Xăng,Khác,Đen,bonbanh,2025-12-26
Ford,Ranger XL,2025,559000000,0,Dầu,Hà Nội,Trắng,bonbanh,2025-12-26
2025,Omoda,2025,559000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Mitsubishi,Xpander Premium,2025,560000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Isuzu,Dmax UTZ,2025,560000000,0,Dầu,Hà Nội,Đen,bonbanh,2025-12-26
Toyota,Veloz Cross,2025,560000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Mitsubishi,Xpander Premium,2025,563000000,0,Xăng,Hà Nội,Đen,bonbanh,2025-12-26
Mitsubishi,Xforce GLX,2025,564000000,0,Xăng,TP.HCM,Đỏ,bonbanh,2025-12-26
Toyota,Veloz Cross,2025,565000000,0,Xăng,Hải Phòng,Trắng,bonbanh,2025-12-26
Mitsubishi,Xpander Premium,2025,565000000,0,Xăng,Hà Nội,Đỏ,bonbanh,2025-12-26
Mitsubishi,Xpander Premium,2025,566000000,0,Xăng,Hà Nội,Đỏ,bonbanh,2025-12-26
Kia,Sonet Luxury,2025,568000000,7000,Xăng,Hà Nội,Đen,bonbanh,2025-12-26
Kia,Sonet Luxury,2025,568000000,7300,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Honda,City RS,2025,569000000,0,Xăng,TP.HCM,Xanh,bonbanh,2025-12-26
MG,HS 1.5T,2025,570000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Toyota,Veloz Cross,2025,570000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Honda,BR V,2025,570000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Mitsubishi,Xpander Premium,2025,570000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Mitsubishi,Xpander Premium,2025,571000000,0,Xăng,Hà Nội,Đen,bonbanh,2025-12-26
Isuzu,Dmax Prestige,2025,572000000,0,Dầu,TP.HCM,Bạc,bonbanh,2025-12-26
Honda,BR V,2025,573000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Toyota,Veloz Cross,2025,575000000,0,Xăng,Hà Nội,Đỏ,bonbanh,2025-12-26
Mitsubishi,Xforce Premium,2025,575000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
Mazda,CX3 Luxury,2025,576000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26
