brand,model,year,price,mileage,fuel,location,color,source,crawl_date,url
Toyota,Innova,2025,970000000,0,Điện,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-toyota-innova-cross-hev-2.0-cvt-2025-6575008
Ford,Everest,2025,1003000000,0,Điện,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-ford-everest-ambiente-2.0l-4x2-at-2025-6116564
Mercedes-Benz,C Class,2023,1560000000,1998,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-mercedes_benz-c_class-c200-avantgarde-plus-2023-6601175
Mercedes-Benz,Glc,2017,895000000,85000,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2017-6615105
Toyota,Vios,2015,242000000,100000,Dầu,Hải Phòng,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-toyota-vios-1.5e-2015-6607415
VinFast,Vf 8,2022,548000000,64000,Điện,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-vinfast-vf8-eco-awd-2022-6542419
Mercedes-Benz,E Class,2025,-1085967296,0,Hybrid,Hà Nội,Xanh,bonbanh,2026-01-09,https://bonbanh.com/xe-mercedes_benz-e_class-e300-amg-2025-6515322
Mercedes-Benz,Sl Class,2023,804032704,8000,Xăng,Hà Nội,Đỏ,bonbanh,2026-01-09,https://bonbanh.com/xe-mercedes_benz-sl_class-sl-43-amg-2023-6615093
Toyota,Veloz,2025,548000000,0,Xăng,Hà Nội,Đỏ,bonbanh,2026-01-09,https://bonbanh.com/xe-toyota-veloz-cross-1.5-cvt-2025-5311683
Mitsubishi,Xforce,2024,605000000,20000,Xăng,Hà Nội,Đỏ,bonbanh,2026-01-09,https://bonbanh.com/xe-mitsubishi-xforce-premium-2024-6615101
Honda,Crv,2023,905000000,50000,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-honda-crv-l-2023-6615091
Peugeot,408,2024,1039000000,9000,Xăng,TP.HCM,Đỏ,bonbanh,2026-01-09,https://bonbanh.com/xe-peugeot-408-gt-1.6-at-2024-6564816
Honda,Br V,2023,619000000,10000,Xăng,TP.HCM,Đỏ,bonbanh,2026-01-09,https://bonbanh.com/xe-honda-br_v-l-2023-6614874
Hyundai,I10,2024,409000000,21000,Xăng,TP.HCM,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-hyundai-i10-1.2-at-2024-6581035
Toyota,Highlander,2011,600000000,105000,Điện,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-toyota-highlander-se-2.7-2011-6611293
Hyundai,Elantra,2020,479000000,40000,Xăng,Hà Nội,Đỏ,bonbanh,2026-01-09,https://bonbanh.com/xe-hyundai-elantra-2.0-at-2020-6385493
