brand,model,year,price,mileage,fuel,location,color,source,crawl_date,url
Kia,Cerato,2016,380000000,50000,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/130133184.htm
Chevrolet,Cruze,2016,255000000,60,Điện,Hà Nội,Trắng,chotot,2026-01-09,https://www.chotot.com/130021082.htm
Hyundai,Tucson,2025,845000000,13000,Xăng,TP.HCM,Đen,chotot,2026-01-09,https://www.chotot.com/130156839.htm
Hyundai,Santafe,2021,839000000,74000,Dầu,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/129151542.htm
Other,Other,2010,66000000,99000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/129070690.htm
Other,Other,2022,1479000000,28000,Điện,TP.HCM,Đen,chotot,2026-01-09,https://www.chotot.com/130110615.htm
MG,Hs,2023,589000000,14000,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/128975348.htm
Nissan,Navara,2023,749000000,46000,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/129189006.htm
MG,Hs,2024,609000000,29000,Xăng,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130184585.htm
Other,Other,2016,368000000,90000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130130852.htm
VinFast,Vf 5,2024,410000000,31000,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/129916377.htm
Mitsubishi,Xpander,2019,370000000,57000,Xăng,Lâm Đồng,Đỏ,chotot,2026-01-09,https://www.chotot.com/130184563.htm
Ford,Fiesta,2014,255000000,123456,Điện,Lâm Đồng,Trắng,chotot,2026-01-09,https://www.chotot.com/130184562.htm
Other,Other,2025,255000000,9000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/129979563.htm
Toyota,Innova,2007,118000000,1212,Xăng,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/129989758.htm
Ford,Ranger,2025,685000000,1000,Điện,TP.HCM,Đen,chotot,2026-01-09,https://www.chotot.com/130102636.htm
Mercedes-Benz,C300,2018,739000000,4,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/127112209.htm
Toyota,Vios,2012,248000000,79,Xăng,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130184465.htm
Kia,Soluto,2022,285000000,33000,Xăng,Hà Nội,Trắng,chotot,2026-01-09,https://www.chotot.com/129884220.htm
BYD,Bán,2026,756000000,3,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130109439.htm
Other,Other,2010,350000000,100000,Dầu,Hà Nội,Đỏ,chotot,2026-01-09,https://www.chotot.com/130182910.htm
Suzuki,Swift,2022,499000000,38000,Xăng,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/129882425.htm
Other,Other,2026,632660000,0,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130123507.htm
Toyota,Camry,2010,345000000,118000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130184441.htm
Other,Other,2022,600000000,23000,Điện,Khác,Trắng,chotot,2026-01-09,https://www.chotot.com/130184391.htm
Suzuki,Ertiga,2023,485000000,50000,Hybrid,Hà Nội,Đỏ,chotot,2026-01-09,https://www.chotot.com/129847338.htm
Mitsubishi,Xpander,2022,465000000,70000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/129974952.htm
Lexus,Gs300,2017,1679000000,30000,Điện,Đà Nẵng,Đỏ,chotot,2026-01-09,https://www.chotot.com/130184380.htm
BMW,X4,2019,1359000000,78000,Xăng,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/129071009.htm
Peugeot,3008,2016,375000000,80000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130000607.htm
Audi,Q5,2009,295000000,120,Xăng,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130184321.htm
Toyota,Vios,2019,345000000,82000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130184320.htm
Other,Other,2019,685000000,90000,Điện,Hà Nội,Đỏ,chotot,2026-01-09,https://www.chotot.com/128224431.htm
Toyota,Altis,2002,84000000,100000,Điện,Khác,Trắng,chotot,2026-01-09,https://www.chotot.com/129760111.htm
Audi,Q2,2019,799000000,40000,Xăng,TP.HCM,Đen,chotot,2026-01-09,https://www.chotot.com/127309895.htm
Toyota,Vios,2023,360000000,68000,Xăng,Hà Nội,Đỏ,chotot,2026-01-09,https://www.chotot.com/130184217.htm
Kia,Xe,2014,299000000,75000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130155707.htm
Kia,Morning,2013,139000000,150000,Xăng,Đồng Nai,Trắng,chotot,2026-01-09,https://www.chotot.com/129869962.htm
Toyota,Corolla Cross,2021,620000000,0,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/130121457.htm
Mazda,Cx 5,2017,475000000,0,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/130184180.htm
Kia,Bán,2008,136000000,123345,Xăng,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/127944701.htm
Mercedes-Benz,Glc200,2022,1489000000,30000,Xăng,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/127977242.htm
Hyundai,Custin,2025,800000000,26000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130184155.htm
Land Rover,Landrover,2012,465000000,150000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130018749.htm
Other,Other,2019,480000000,71408,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130084663.htm
Other,Other,2013,468000000,140000,Điện,Hà Nội,Đỏ,chotot,2026-01-09,https://www.chotot.com/128224716.htm
Peugeot,30,2019,550000000,0,Điện,Đà Nẵng,Trắng,chotot,2026-01-09,https://www.chotot.com/130184097.htm
Mercedes-Benz,C250,2017,639000000,56000,Điện,TP.HCM,Đen,chotot,2026-01-09,https://www.chotot.com/127332569.htm
VinFast,Sẵn,2010,274000000,0,Điện,Hà Nội,Đỏ,chotot,2026-01-09,https://www.chotot.com/130163767.htm
Audi,A6,2010,265000000,52000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/127939038.htm
Other,Other,2018,189000000,81968,Xăng,Hà Nội,Trắng,chotot,2026-01-09,https://www.chotot.com/130184009.htm
Hyundai,Accent,2022,435000000,27000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/129920426.htm
Kia,Cerato,2019,455000000,82000,Xăng,Đà Nẵng,Đỏ,chotot,2026-01-09,https://www.chotot.com/130076745.htm
Kia,Cần,2010,335000000,60000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130183979.htm
Honda,Civic,2007,215000000,230000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130183974.htm
Hyundai,Stargazer,2025,466000000,42000,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/130183972.htm
VinFast,Vf 8,2024,768000000,460,Điện,Hà Nội,Trắng,chotot,2026-01-09,https://www.chotot.com/129601028.htm
Ford,Ecosport,2017,325000000,80000,Xăng,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/129975457.htm
Mercedes-Benz,E250,2015,575000000,74000,Điện,Đà Nẵng,Đen,chotot,2026-01-09,https://www.chotot.com/130126322.htm
Chevrolet,Cruze,2016,255000000,95000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/129598620.htm
Hyundai,Solati,2021,800000000,75000,Dầu,Hà Nội,Đỏ,chotot,2026-01-09,https://www.chotot.com/130183881.htm
Toyota,Vios,2021,448000000,43000,Điện,Hà Nội,Đỏ,chotot,2026-01-09,https://www.chotot.com/130183880.htm
Mazda,Cx 5,2018,555000000,85000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/129525428.htm
Ford,Ecosport,2020,475000000,47000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130183869.htm
Other,Other,2020,889000000,65000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130133827.htm
Ford,Ranger,2010,662000000,0,Dầu,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130183841.htm
Other,Other,2016,340000000,42000,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/130183802.htm
Kia,Soluto,2021,340000000,50000,Xăng,Hà Nội,Đỏ,chotot,2026-01-09,https://www.chotot.com/129989569.htm
